,racial/ethnic,gender,socioeconomic,social,educational,health,geographic,age,disability,info/digital
US,118.0,67.0,113.0,17.0,28.0,26.0,31.0,13.0,5.0,12.0
India,11.0,25.0,21.0,10.0,9.0,2.0,12.0,2.0,3.0,7.0
Europe,16.0,16.0,7.0,5.0,5.0,1.0,1.0,0.0,5.0,2.0
Africa,16.0,2.0,12.0,4.0,3.0,4.0,9.0,0.0,0.0,3.0
UK,13.0,7.0,7.0,2.0,5.0,5.0,2.0,0.0,3.0,2.0
China,7.0,9.0,3.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0
Italy,5.0,11.0,7.0,0.0,4.0,2.0,8.0,1.0,0.0,1.0
New York City,9.0,5.0,12.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0
Germany,4.0,8.0,7.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0
Brazil,7.0,4.0,8.0,0.0,2.0,3.0,5.0,2.0,1.0,1.0
