,racial/ethnic,gender,socioeconomic,social,educational,health,geographic,age,disability,info/digital
US,27.44186046511628,15.58139534883721,26.27906976744186,3.953488372093023,6.511627906976744,6.046511627906977,7.209302325581396,3.0232558139534884,1.1627906976744187,2.7906976744186047
India,10.784313725490197,24.509803921568626,20.588235294117645,9.803921568627452,8.823529411764707,1.9607843137254901,11.76470588235294,1.9607843137254901,2.941176470588235,6.862745098039216
Europe,27.586206896551722,27.586206896551722,12.068965517241379,8.620689655172415,8.620689655172415,1.7241379310344827,1.7241379310344827,0.0,8.620689655172415,3.4482758620689653
Africa,30.18867924528302,3.7735849056603774,22.641509433962266,7.547169811320755,5.660377358490567,7.547169811320755,16.9811320754717,0.0,0.0,5.660377358490567
UK,28.26086956521739,15.217391304347828,15.217391304347828,4.3478260869565215,10.869565217391305,10.869565217391305,4.3478260869565215,0.0,6.521739130434782,4.3478260869565215
China,21.21212121212121,27.27272727272727,9.090909090909092,6.0606060606060606,3.0303030303030303,9.090909090909092,0.0,9.090909090909092,3.0303030303030303,12.121212121212121
Italy,12.82051282051282,28.205128205128204,17.94871794871795,0.0,10.256410256410255,5.128205128205128,20.51282051282051,2.564102564102564,0.0,2.564102564102564
New York City,25.0,13.88888888888889,33.33333333333333,2.7777777777777777,8.333333333333332,2.7777777777777777,5.555555555555555,2.7777777777777777,0.0,5.555555555555555
Germany,15.384615384615385,30.76923076923077,26.923076923076923,0.0,11.538461538461538,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925
Brazil,21.21212121212121,12.121212121212121,24.242424242424242,0.0,6.0606060606060606,9.090909090909092,15.151515151515152,6.0606060606060606,3.0303030303030303,3.0303030303030303
