,Quantitative Analysis,Experiment,Machine Learning,Natural Language Processing,Algorithm Auditing,Dataset Creation,Statistical Analysis,Theoretical Analysis,Deep Learning,Literature Review
racial/ethnic,18.32235900372173,22.73117663899227,13.169195533924993,8.130546807901517,10.048668766103635,7.987403378184942,5.2390495276266815,4.637847122817062,5.582593758946464,4.151159461780704
gender,19.121522693997072,24.070278184480234,11.71303074670571,12.415812591508054,8.609077598828698,8.521229868228405,4.421669106881406,3.1039531478770135,4.45095168374817,3.572474377745242
socioeconomic,29.47976878612717,13.468208092485549,15.202312138728324,3.4682080924855487,9.132947976878611,4.7398843930635834,6.416184971098265,9.017341040462428,3.5838150289017343,5.491329479768786
social,15.127388535031846,21.17834394904459,11.78343949044586,9.872611464968154,11.464968152866243,5.89171974522293,4.617834394904459,9.554140127388536,2.7070063694267517,7.802547770700636
educational,24.271844660194176,17.475728155339805,12.459546925566343,5.016181229773463,11.165048543689322,5.339805825242718,4.53074433656958,9.223300970873787,2.4271844660194173,8.090614886731391
health,22.765598650927487,16.694772344013494,18.043844856661046,3.87858347386172,7.251264755480608,6.57672849915683,5.059021922428331,2.866779089376054,10.792580101180437,6.070826306913997
geographic,42.28395061728395,9.25925925925926,11.419753086419753,4.62962962962963,4.012345679012346,10.185185185185185,4.62962962962963,2.1604938271604937,3.3950617283950617,8.024691358024691
age,22.36503856041131,23.13624678663239,12.853470437017995,5.912596401028278,7.712082262210797,10.025706940874036,6.683804627249357,1.0282776349614395,8.740359897172237,1.5424164524421593
disability,19.84732824427481,20.610687022900763,7.251908396946565,9.16030534351145,9.923664122137405,7.633587786259542,3.435114503816794,7.251908396946565,3.0534351145038165,11.83206106870229
info/digital,30.869565217391305,15.217391304347828,8.26086956521739,5.217391304347826,8.26086956521739,7.82608695652174,3.91304347826087,6.956521739130435,1.7391304347826086,11.73913043478261
