Year,Algorithm Auditing,Dataset Creation,Deep Learning,Experiment,Literature Review,Machine Learning,Natural Language Processing,Quantitative Analysis,Statistical Analysis,Theoretical Analysis
2015,2,1,0,1,1,1,1,8,3,0
2016,5,3,0,2,0,3,5,16,4,0
2017,13,2,1,5,2,8,3,16,11,6
2018,19,7,6,17,5,14,14,45,13,18
2019,30,16,12,49,13,46,32,81,19,18
2020,49,36,26,102,18,69,39,105,27,27
2021,48,31,29,105,37,69,58,122,25,33
2022,56,58,30,130,29,93,71,149,31,39
2023,66,95,44,242,44,98,102,202,42,31
2024,85,114,54,280,45,133,124,229,41,40
2025,25,32,13,107,13,34,51,87,13,12
