Item,Frequency,Percentage(%)
women,704,11.86
gender groups,311,5.24
racial minorities,303,5.10
racial groups,299,5.04
social groups,213,3.59
gender minorities,212,3.57
minority groups,163,2.75
demographic groups,131,2.21
men,115,1.94
disadvantaged groups,97,1.63
patients,74,1.25
social minorities,69,1.16
minorities,60,1.01
marginalized groups,60,1.01
students,58,0.98
elderly,57,0.96
ethnic groups,54,0.91
ethnic minorities,50,0.84
protected groups,50,0.84
age groups,44,0.74
underrepresented groups,37,0.62
religious groups,36,0.61
disadvantaged communities,30,0.51
marginalized communities,29,0.49
urban residents,27,0.45
low-income groups,27,0.45
job applicants,24,0.40
discriminated individuals,20,0.34
females,20,0.34
disabled individuals,19,0.32
users,17,0.29
socioeconomic groups,17,0.29
older adults,17,0.29
female,15,0.25
males,14,0.24
discriminated groups,14,0.24
vulnerable groups,14,0.24
occupational groups,14,0.24
people with disabilities,14,0.24
criminal defendants,13,0.22
individuals,13,0.22
vulnerable populations,12,0.20
non-binary individuals,12,0.20
underserved groups,12,0.20
communities,11,0.19
socioeconomic classes,11,0.19
African Americans,11,0.19
nationalities,11,0.19
children,11,0.19
workers,10,0.17
male,10,0.17
job seekers,10,0.17
Black communities,10,0.17
Black individuals,10,0.17
female characters,9,0.15
underserved communities,9,0.15
demographic subgroups,9,0.15
disadvantaged populations,9,0.15
job candidates,9,0.15
unprivileged groups,9,0.15
minority communities,9,0.15
healthcare patients,9,0.15
underprivileged groups,9,0.15
disadvantaged individuals,8,0.13
low-income communities,8,0.13
rural residents,8,0.13
female researchers,8,0.13
discriminated minorities,8,0.13
non-native speakers,8,0.13
female students,8,0.13
general public,8,0.13
female speakers,8,0.13
minority populations,8,0.13
discriminated communities,8,0.13
LGBTQ+,8,0.13
Women,8,0.13
girls,7,0.12
low-income residents,7,0.12
social media users,7,0.12
Black,7,0.12
loan applicants,7,0.12
political groups,7,0.12
low-income individuals,7,0.12
Muslims,7,0.12
low-income users,7,0.12
regional populations,7,0.12
people of color,7,0.12
users of AI systems,7,0.12
female patients,7,0.12
urban poor,6,0.10
female authors,6,0.10
male characters,6,0.10
protected classes,6,0.10
defendants,6,0.10
decision subjects,6,0.10
health patients,6,0.10
applicants,6,0.10
credit applicants,6,0.10
medical patients,6,0.10
under-represented groups,6,0.10
religious communities,6,0.10
disabled,6,0.10
cultural groups,6,0.10
White,6,0.10
regional communities,6,0.10
societal minorities,6,0.10
cultural communities,6,0.10
Black Americans,6,0.10
identity groups,6,0.10
LGBTQ+ individuals,6,0.10
African-Americans,5,0.08
male users,5,0.08
income groups,5,0.08
drivers,5,0.08
geographic communities,5,0.08
disabled people,5,0.08
society,5,0.08
rural communities,5,0.08
Twitter users,5,0.08
Black women,5,0.08
patients by gender,5,0.08
families,5,0.08
Black people,5,0.08
non-binary,5,0.08
gender,5,0.08
female workers,5,0.08
subpopulations,5,0.08
non-native English speakers,5,0.08
majority groups,5,0.08
minority racial groups,5,0.08
disadvantaged,5,0.08
sensitive groups,5,0.08
male students,5,0.08
Black patients,5,0.08
Indigenous communities,5,0.08
White Americans,5,0.08
users by gender,5,0.08
Asian,5,0.08
language communities,5,0.08
