Item,Frequency,Percentage(%)
AI as cause/amplifier,1166,41.60
AI as measurement tool,807,28.79
AI as solution,493,17.59
Not AI-related,292,10.42
Unclear,20,0.71
AI as subject of regulation,18,0.64
AI as fairness measurement and balancing tool,1,0.04
AI as amplifier and subject of regulation,1,0.04
AI as amplifier of bias and fairness mitigation,1,0.04
AI as amplifier of bias and fairness solution,1,0.04
AI as amplifier and mitigator of inequalities,1,0.04
AI as amplifier and mitigator of bias,1,0.04
AI as amplifier and mitigator,1,0.04
